NAMEREC;CONTRACT2;CLIENTNAME;STREET;HOME;SERVICENUMBER;PLACE;REGISTERTYPENAME;FACTORYNUM;MOUNTDATE;PLOMBA
Тракторозаводский район;71176;"ТСН ""Бриз""";Героев Танкограда;61А;24493;;WP/WPH (ZENNER) (Германия);12029855;14.03.2013;656            
Тракторозаводский район;71095;"ООО УК ""НОВОСТРОЙ""";Салютная;21А;10074;;WP/WPH (ZENNER) (Германия);12025353;14.03.2013;667            
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Красноармейская;109;3782;;МТК  / MTW (Zenner) (Германия);3927185;13.02.2013;00414          
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Советская;45;3788;;МТК  / MTW (Zenner) (Германия);04697209;13.02.2013;00441          
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Хохрякова;22А;3404;;ВСХ (г.Мытищи);12557854;04.03.2013;497            
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Хохрякова;8;21101;;МТК / MTW (Zenner) (Германия);03927117;04.03.2013;449            
Ленинский район;71052;"ООО ""Гефест""";Руставели;4Б;41824;;МТК  / MTW (Zenner) (Германия);1310003368;18.04.2013;7034           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Артиллерийская;65А;41915;;МТК / MTW (Zenner) (Германия);1210053465;22.05.2013;5034           
Ленинский район;71016;"ООО ""Бетотек-сервис""";Руставели;1Б;41002;;СВМ (Бетар) (г.Чистополь);021243;24.12.2012;5782син        
Ленинский район;71089;"ООО УК ""Ленар""";Барбюса;126;85;;МТК / MTW (Zenner) (Германия);1210053467;18.04.2013;0536           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Гагарина;33;254;;МТК / MTW (Zenner) (Германия);0393546;18.04.2013;0369           
Ленинский район;71088;"ООО УК ""Ленком""";Коммунаров;17;23395;;МТК / MTW (Zenner) (Германия);1210048401;15.04.2013;0477           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Российская;224;1452;;МТК  / MTW (Zenner) (Германия);7211650;13.03.2013;01648          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Заслонова;2;4341;;МТК / MTW (Zenner) (Германия);6036130;26.12.2012;00925          
Тракторозаводский район;71082;"ООО УК ЖЭУ ""ТЕРРА-2""";Эльтонская 1-я;13;38898;;ВСХН (POWOGAZ);13508131;14.03.2013;727            
Тракторозаводский район;71082;"ООО УК ЖЭУ ""ТЕРРА-2""";Кулибина;21;31310;;ВМХ (г.Москва);9897300;05.07.2007;7783           
Калининский район;71083;"ООО УК ЖЭУ ""Территория""";Косарева;52Б;39374;;ВСХН (POWOGAZ);12589761;11.02.2013;1              
Калининский район;71019;"ООО ""ДЕЗ Калининского района""";Косарева;52Б;39374;;ВСХН (POWOGAZ);12589761;11.02.2013;1              
Советский район;71178;"ООО УК ""ЮжУралЖКХ""";Свободы;90А;11624;;WP/WPH (ZENNER) (Германия);05002172;23.04.2013;04237          
Центральный район;71130;"ТСЖ ""Золотой ключ""";Энгельса;26А;18977;;МТК / MTW (Zenner) (Германия);1210040559;08.02.2013;1819           
Металлургический район;71026;"ООО ""Жилсервис""";Сталеваров;49;10794;;WP / WPH  (ZENNER) (германия);11030528;25.02.2013;0790           
Ленинский район;71089;"ООО УК ""Ленар""";Барбюса;124А;83;;МТК / MTW (Zenner) (Германия);1210053475;18.04.2013;0353           
Ленинский район;71089;"ООО УК ""Ленар""";Барбюса;124;82;;МТК / MTW (Zenner) (Германия);1210053885;18.04.2013;0351           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Ленина;25А;41879;;МТК / MTW (Zenner) (Германия);1210040302;16.05.2013;01605          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Ленина;25А;41122; ;МТК / MTW (Zenner) (Германия);6036309;05.03.2013;00417          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Курчатова;8Б;1191;;МТК  / MTW (Zenner) (Германия);6728208;11.03.2013;01787          
Тракторозаводский район;71107;"Общество с ограниченной ответственностью  ""УК Челябинск-Сити""";Трашутина;33;41040;;ВСКМ (г.Москва);009485;08.05.2013;0380           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Чоппа;3;3301;;WP / WPH (ZENNER)(Германия);12026060;15.05.2013;18             
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Бажова;35;3405;;WP/WPH (ZENNER) (Германия);11070352;15.05.2013;16             
Тракторозаводский район;71042;"ООО ""ЖЭУ-11""";Савина;14;41903;;МТК / MTW (Zenner) (Германия);1210053469;30.04.2013;129            
Тракторозаводский район;71042;"ООО ""ЖЭУ-11""";Горького;12;41902;;МТК / MTW (Zenner) (Германия);1210053470;30.04.2013;133            
Тракторозаводский район;71042;"ООО ""ЖЭУ-11""";Горького;14;41901;;МТК / MTW (Zenner) (Германия);1210053464;22.05.2013;134            
Тракторозаводский район;71042;"ООО ""ЖЭУ-11""";Первой Пятилетки;25;41900;;МТК / MTW (Zenner) (Германия);1210053476;21.05.2013;48             
Тракторозаводский район;71037;"ООО ""ЖЭУ-5""";Лобинский 10-й;2;3418;;WP / WPH  (ZENNER) (германия);12034104;16.05.2013;5046           
Тракторозаводский район;71042;"ООО ""ЖЭУ-11""";Савина;8;7884;;МТК / MTW (Zenner) (Германия);1210053467;30.04.2013;50             
Тракторозаводский район;71042;"ООО ""ЖЭУ-11""";Лобинский 10-й;1;3419;;МТК / MTW (Zenner) (Германия);1210048399;16.05.2013;5003           
Тракторозаводский район;71039;"ООО ""ЖЭУ-7""";Танкистов;146В;41908;;МТК / MTW (Zenner) (Германия);1210053621;16.05.2013;5024           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Курчатова;2;1187;;МТК  / MTW (Zenner) (Германия);7211644;06.03.2013;01794          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Курчатова;10;1193;;МТК  / MTW (Zenner) (Германия);6728154;11.03.2013;01778          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Корабельная;6;41778;;МТК / MTW (Zenner) (Германия);6020274;01.01.2013;004526         
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Дачный;12Б;26653;;МТК / MTW (Zenner) (Германия);6036141;11.12.2012;004571         
Советский район;71159;"ТСН ""Контроль""";Елькина;86;1165;;МТК  / MTW (Zenner) (Германия);6512421;06.03.2013;00485          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Свободы;151;1456;;МТК / MTW (Zenner) (Германия);1210040301;04.03.2013;00970          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Воровского;17Б;1167;;МТК  / MTW (Zenner) (Германия);6020328;15.03.2013;01607          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Елькина;63А;1115;;МТК  / MTW (Zenner) (Германия);7190595;06.03.2013;00401          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Воровского;43;1543;;МТК / MTW (Zenner) (Германия);7071571;06.03.2013;"1725;1088      "
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Курчатова;4А;4370;;МТК  / MTW (Zenner) (Германия);6728164;06.03.2013;01796          
Тракторозаводский район;71039;"ООО ""ЖЭУ-7""";Танкистов;146А;41905;;МТК / MTW (Zenner) (Германия);1210053598;16.05.2013;5041           
Тракторозаводский район;71039;"ООО ""ЖЭУ-7""";Танкистов;146;41904;;МТК / MTW (Zenner) (Германия);1210053640;16.05.2013;5049           
Ленинский район;71029;"ООО ""ЖК Центрального района""";Нахимова;4;41890;;МТК / MTW (Zenner) (Германия);1210053601;17.05.2013;0447           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Трашутина;35;41581;;ВСХН (POWOGAZ);13515098;23.05.2013;101            
Ленинский район;71050;"ООО ""Титан""";Машиностроителей;12;41889;;WP/WPH (ZENNER) (Германия);110057456;17.05.2013;0441           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Пекинская;4;41495;;МТК / MTW (Zenner) (Германия);7071505;14.11.2012;02678          
